"phase","audit_item","finding","status","evidence"
"1.22","label access","Only names, metadata, identifiers and P,VX,LS,ST read; no labels","pass","outputs/week9_phase1_22_external_blind_test/EXTERNAL_POOL_AUDIT.json:2-4"
"1.22","existing pool status","Accessible simulation candidates are the original 407/405 campaign or subsets/copies","verified","outputs/week9_phase1_22_external_blind_test/EXTERNAL_POOL_AUDIT.json:119-303"
"1.22","new supervisor pool","No accessible manifest, inputs or labels","blocked by input","outputs/week9_phase1_22_external_blind_test/EXTERNAL_POOL_AUDIT.json:319-333"
"1.22","external validation status","EXTERNAL_BLIND_POOL_VALID=false; stopped before Step 2; no external run or protocol freeze","not run","outputs/week9_phase1_22_external_blind_test/EXTERNAL_POOL_AUDIT.json:336-342"
"cross-phase","incumbent","M3 probability margin with frozen B16 remains incumbent","frozen","Phase 1.20 verdict; outputs/week9_phase1_21_simplification_replication/FINAL_POLICY_FREEZE.json:19-24"
"cross-phase","challenger","One composite challenger early8__coverage_then_margin_B40; A retained only for attribution","frozen","outputs/week9_phase1_21_simplification_replication/FINAL_POLICY_FREEZE.json:4-24"
"cross-phase","metric compatibility","Phase 1.20 balanced B16-40 and Phase 1.21 accuracy B16-80 are different endpoints","warning","outputs/week9_phase1_20_m3_g3_margin_acquisition/FINAL_PHASE1_20_REPORT.md:26-30; outputs/week9_phase1_21_simplification_replication/PHASE1_21_PREREGISTERED_PROTOCOL.json:49-59"
"cross-phase","q20/q30","q20 remains primary; q30 remains secondary","frozen","Phase 1.20 frozen_protocol.json:5-18; Phase 1.21 PHASE1_21_PREREGISTERED_PROTOCOL.json:49-59"
"1.21-addendum","frozen comparator protocol","Two new primary contrasts, q20 accuracy B16-80, repeat-block inference, two-test Holm and +0.01 replacement rule were locked before execution","pass","phase121_comparator_audit/AUDIT_PROTOCOL.json; phase121_comparator_audit/EXECUTION_FREEZE.json"
"1.21-addendum","historical A0 identity","Published Week 8.5 bundle hash matched and live implementation reproduced 100/100 canonical full query paths","pass","phase121_comparator_audit/a0_recreation_parity.json; phase121_comparator_audit/week8_5_protocol_canonicalization.json"
"1.21-addendum","stored and new checkpoints","900/900 stored Phase 1.21 checkpoints validated; 600/600 new outer runs completed with zero reuse and provenance sidecars","pass","phase121_comparator_audit/preflight_validation.json; phase121_comparator_audit/execution_summary.json"
"1.21-addendum","live leakage counterfactual","Flipping every unrevealed label changed neither probabilities nor selected row in 3/3 M3-margin and Binary-A0 cases","pass","phase121_comparator_audit/invariance_and_leakage_gates.json"
"1.21-addendum","coverage conditional on early start","Candidate B minus early8 margin q20 accuracy AULC B16-80 +0.001939 [+0.000458,+0.003402], 37/60, Holm p=0.02622; guardrails pass","statistically positive; practically small","phase121_comparator_audit/effect_decomposition.json; phase121_comparator_audit/repeat_block_contrasts.csv"
"1.21-addendum","Candidate A versus historical A0","q20 accuracy AULC B16-80 +0.002990 [+0.000590,+0.005434], 35/60, Holm p=0.02622; guardrails pass","statistically positive; practically small","phase121_comparator_audit/effect_decomposition.json; phase121_comparator_audit/repeat_block_contrasts.csv"
"1.21-addendum","effect decomposition","Candidate B total +0.006708 = early-start margin +0.004769 plus coverage conditional on early start +0.001939; zero closure error","verified","phase121_comparator_audit/effect_decomposition.json"
"1.21-addendum","balanced-accuracy and optimizer caveats","New q20 balanced-accuracy intervals cross zero; A0-path M3 evaluation had 1376/19500 non-convergence flags but zero fallbacks","caveat","phase121_comparator_audit/repeat_block_contrasts.csv; phase121_comparator_audit/checkpoints/historical_binary_A0_live"
